filename            Uoc, mV        Jsc, mA/cm2    FF, %       Eff, %        cellarea                                              
4BR.txt            1026.723575      8.1157575     42.631     3.5523169      0.0900                                                
4BF.txt            1007.416639      9.4085745     42.156     3.9957417      0.0900                                                
4AR-3.txt          1000.960210      7.5117528     44.689     3.3601345      0.0900                                                
4AR-2.txt          1008.890679      9.0114842     44.747     4.0682348      0.0900                                                
4AR-1.txt           997.603663     10.3910080     32.789     3.3989840      0.0900                                                
4AF.txt             989.672272      8.5896363     35.153     2.9883542      0.0900                                                
3BR.txt            1034.670785      9.5766808     58.027     5.7496857      0.0900                                                
3BF.txt            1006.735548     11.3219417     48.027     5.4741727      0.0900                                                
3AR.txt            1014.694461     10.4387283     48.351     5.1214204      0.0900                                                
3AF-2.txt          1007.359899      9.7533955     48.319     4.7474673      0.0900                                                
3AF-1.txt          1003.129188     11.3262091     37.496     4.2601894      0.0900                                                
2BR.txt            1034.399560     11.4967428     37.796     4.4948042      0.0900                                                
2BF.txt            1015.740678     10.7982492     37.175     4.0774428      0.0900                                                
2AR.txt            1005.377865     11.2109779     35.116     3.9580534      0.0900                                                
2AF.txt            1000.046476     12.4076290     32.255     4.0022489      0.0900                                                
1BR.txt            1011.478549     10.0643402     56.763     5.7783713      0.0900                                                
1BF.txt             992.437624     12.3059011     48.412     5.9124527      0.0900                                                
1AR-2.txt           998.017717      9.4234591     60.947     5.7319220      0.0900                                                
1AR.txt             997.098237     10.7195937     57.449     6.1404502      0.0900                                                
1AF.txt             994.387483      9.9962929     44.657     4.4389787      0.0900                                                
